seeds=40 N=9 T=6 sigma_true=0.1
ssvs tau0=0.02 tau1=1.5 draws=20000 burn=5000

case     method       correct   false  missed  exact  med sig  med frob
block    mple           26.20    1.57    0.80   14/40   0.0908     0.673
block    lasso-cv       20.85   18.43    6.15    0/40   0.6144     3.730
block    lasso-bic      23.70   18.27    3.30    0/40   0.0649     2.799
block    alasso-bic     23.32    8.28    3.67    0/40   0.0924     2.791
block    lasso-best     19.27    1.68    7.72    0/40   0.7462     3.542
block    ssvs           26.32    1.50    0.68   10/40   0.0915     0.785

scatter  mple           26.40    1.40    0.60   17/40   0.0887     0.596
scatter  lasso-cv       21.73   19.30    5.28    0/40   0.4297     3.321
scatter  lasso-bic      23.98   17.00    3.02    0/40   0.0649     2.786
scatter  alasso-bic     23.57    7.85    3.42    2/40   0.0963     2.714
scatter  lasso-best     19.68    2.35    7.33    0/40   0.6960     3.224
scatter  ssvs           26.00    1.12    1.00   17/40   0.0941     0.525

paired against mple, both cases pooled (errors = false + missed)
  lasso-cv    worse than mple  80   better   0   equal   0   of 80
  lasso-bic   worse than mple  80   better   0   equal   0   of 80
  alasso-bic  worse than mple  77   better   2   equal   1   of 80
  lasso-best  worse than mple  79   better   0   equal   1   of 80
  ssvs        worse than mple  24   better  24   equal  32   of 80

rows selected with more cells than observations: 0

      seed case     method        M  corr  false  miss   sigma    frob
  20272726 scatter  lasso-cv     47    23     24     4  0.1367   4.485
  20272726 scatter  lasso-bic    41    24     17     3  0.0887   4.226
  20272726 scatter  alasso-bic   29    24      5     3  0.0960   4.070
  20272726 scatter  lasso-best   22    19      3     8  1.0091   4.360
  20272726 scatter  ssvs         27    26      1     1  0.1002   0.993
  20273726 block    mple         28    26      2     1  0.0907   1.182
  20273726 block    lasso-cv     51    26     25     1  0.1198   1.027
  20273726 block    lasso-bic    41    26     15     1  0.0649   1.027
  20273726 block    alasso-bic   30    26      4     1  0.0810   0.647
  20273726 block    lasso-best   25    23      2     4  0.4217   1.336
  20273726 block    ssvs         28    26      2     1  0.0905   1.249
  20273726 scatter  mple         27    27      0     0  0.0879   0.302
  20273726 scatter  lasso-cv     46    25     21     2  0.6570   1.119
  20273726 scatter  lasso-bic    39    27     12     0  0.0822   0.731
  20273726 scatter  alasso-bic   29    27      2     0  0.0909   0.293
  20273726 scatter  lasso-best   24    23      1     4  0.4864   2.655
  20273726 scatter  ssvs         27    27      0     0  0.0879   0.300
  20274726 block    mple         27    25      2     2  0.0890   0.963
  20274726 block    lasso-cv     37    21     16     6  0.6266   3.551
  20274726 block    lasso-bic    43    24     19     3  0.0692   3.576
  20274726 block    alasso-bic   31    22      9     5  0.0972   3.616
  20274726 block    lasso-best   18    17      1    10  1.2749   3.400
  20274726 block    ssvs         29    25      4     2  0.0834   1.356
  20274726 scatter  mple         27    25      2     2  0.0883   1.156
  20274726 scatter  lasso-cv     30    20     10     7  0.8073   2.321
  20274726 scatter  lasso-bic    40    27     13     0  0.0636   0.460
  20274726 scatter  alasso-bic   27    27      0     0  0.0974   0.326
  20274726 scatter  lasso-best   27    24      3     3  0.4697   1.634
  20274726 scatter  ssvs         26    24      2     3  0.0983   1.318
  20275726 block    mple         27    25      2     2  0.0895   0.960
  20275726 block    lasso-cv     51    25     26     2  0.1213   1.738
  20275726 block    lasso-bic    39    25     14     2  0.0907   1.310
  20275726 block    alasso-bic   27    24      3     3  0.0954   1.216
  20275726 block    lasso-best   26    23      3     4  0.2778   1.606
  20275726 block    ssvs         26    25      1     2  0.0977   0.919
  20275726 scatter  mple         30    27      3     0  0.0730   0.801
  20275726 scatter  lasso-cv     40    23     17     4  0.1729   2.283
  20275726 scatter  lasso-bic    39    23     16     4  0.0782   1.971
  20275726 scatter  alasso-bic   29    23      6     4  0.1115   1.964
  20275726 scatter  lasso-best   22    20      2     7  0.4308   2.350
  20275726 scatter  ssvs         28    27      1     0  0.0938   0.554
  20276726 block    mple         27    27      0     0  0.0981   0.339
  20276726 block    lasso-cv     27    19      8     8  0.8581   4.583
  20276726 block    lasso-bic    39    25     14     2  0.0783   3.672
  20276726 block    alasso-bic   31    25      6     2  0.1013   3.551
  20276726 block    lasso-best   23    23      0     4  0.4742   4.065
  20276726 block    ssvs         29    26      3     1  0.0990   3.217
  20276726 scatter  mple         27    27      0     0  0.0937   0.343
  20276726 scatter  lasso-cv     26    13     13    14  1.1586   5.927
  20276726 scatter  lasso-bic    45    23     22     4  0.0781   4.287
  20276726 scatter  alasso-bic   31    23      8     4  0.1079   4.233
  20276726 scatter  lasso-best   17    14      3    13  1.1345   5.496
  20276726 scatter  ssvs         28    25      3     2  0.2294   2.137
  20277726 block    mple         28    27      1     0  0.1061   0.478
  20277726 block    lasso-cv     26    18      8     9  0.7501   3.360
  20277726 block    lasso-bic    35    23     12     4  0.0788   1.839
  20277726 block    alasso-bic   33    23     10     4  0.0886   1.813
  20277726 block    lasso-best   21    21      0     6  0.3281   1.977
  20277726 block    ssvs         31    27      4     0  0.0965   4.588
  20277726 scatter  mple         30    26      4     1  0.0891   0.935
  20277726 scatter  lasso-cv     42    25     17     2  0.2052   4.379
  20277726 scatter  lasso-bic    40    25     15     2  0.0736   4.364
  20277726 scatter  alasso-bic   34    24     10     3  0.0971   4.454
  20277726 scatter  lasso-best   22    21      1     6  0.7063   4.199
  20277726 scatter  ssvs         29    26      3     1  0.1407   0.884
  20278726 block    mple         26    26      0     1  0.0909   0.773
  20278726 block    lasso-cv     29    16     13    11  0.6022   4.178
  20278726 block    lasso-bic    45    21     24     6  0.0950   3.651
  20278726 block    alasso-bic   31    18     13     9  0.1143   3.777
  20278726 block    lasso-best   17    16      1    11  0.5875   4.354
  20278726 block    ssvs         26    26      0     1  0.0907   0.771
  20278726 scatter  mple         27    27      0     0  0.0962   0.273
  20278726 scatter  lasso-cv     47    24     23     3  0.0806   3.083
  20278726 scatter  lasso-bic    42    23     19     4  0.0714   2.946
  20278726 scatter  alasso-bic   31    23      8     4  0.0968   2.894
  20278726 scatter  lasso-best   19    18      1     9  0.6741   3.365
  20278726 scatter  ssvs         27    27      0     0  0.0961   0.279
  20279726 block    mple         27    27      0     0  0.0809   0.356
  20279726 block    lasso-cv     27    15     12    12  0.8022   5.191
  20279726 block    lasso-bic    48    23     25     4  0.0403   2.242
  20279726 block    alasso-bic   33    23     10     4  0.0833   2.076
